"started_at","ended_at","duration","start_station_id","start_station_name","start_station_description","start_station_latitude","start_station_longitude","end_station_id","end_station_name","end_station_description","end_station_latitude","end_station_longitude"
"2019-09-01 09:50:14.844000+00:00","2019-09-01 10:01:46.682000+00:00","691","259","St Andrew Square","North East corner","55.95490573198223","-3.192443756949956","189","City Chambers","City Chambers Quadrangle","55.95010933017899","-3.190257770093808"
"2019-09-01 09:55:13.902000+00:00","2019-09-01 10:08:23.205000+00:00","789","265","Meadows East","Melville Terrace","55.939809466328285","-3.182738850746432","183","Waverley Bridge","near the top of the South ramp","55.95134439884462","-3.1914209989898836"
"2019-09-01 09:55:18.780000+00:00","2019-09-01 10:08:25.582000+00:00","786","265","Meadows East","Melville Terrace","55.939809466328285","-3.182738850746432","183","Waverley Bridge","near the top of the South ramp","55.95134439884462","-3.1914209989898836"
"2019-09-01 10:05:13.056000+00:00","2019-09-01 10:59:56.385000+00:00","3283","256","St Andrews House","beside Jacobs ladder","55.95316433242384","-3.181682340931843","248","Bristo Square","Bristo Square, near Potterrow","55.94583371599285","-3.189053072075467"
"2019-09-01 10:06:40.509000+00:00","2019-09-01 11:02:04.474000+00:00","3323","256","St Andrews House","beside Jacobs ladder","55.95316433242384","-3.181682340931843","248","Bristo Square","Bristo Square, near Potterrow","55.94583371599285","-3.189053072075467"
"2019-09-01 10:09:05.240000+00:00","2019-09-01 10:18:05.940000+00:00","540","256","St Andrews House","beside Jacobs ladder","55.95316433242384","-3.181682340931843","260","Lauriston Place","near Chalmers Street","55.944771652335476","-3.1972658564195626"
"2019-09-01 10:10:53.951000+00:00","2019-09-01 10:50:37.789000+00:00","2383","225","Waverley Court","On Waverley Court forecourt","55.95173449698344","-3.1841785354060903","225","Waverley Court","On Waverley Court forecourt","55.95173449698344","-3.1841785354060903"
"2019-09-01 10:12:19.791000+00:00","2019-09-01 10:27:21.900000+00:00","902","358","Leith Walk","Leith Walk opposite Dalmeny Street","55.96503980507732","-3.1766864147848537","289","Castle Street","Near Rose Street","55.951500737349754","-3.2031839065252825"
"2019-09-01 10:13:22.676000+00:00","2019-09-01 10:20:50.883000+00:00","448","249","Fountainbridge","Fountainbridge by Gardner's Crescent","55.94335692764551","-3.2092475016246453","289","Castle Street","Near Rose Street","55.951500737349754","-3.2031839065252825"
"2019-09-01 10:21:16.972000+00:00","2019-09-01 11:15:27.646000+00:00","3250","262","Canonmills","near Tesco's","55.96280408759764","-3.196283585062929","257","Portobello","Edinburgh Leisure Tumbles Centre","55.957004308392506","-3.1168881187301167"
